Input_Len,Pred_Len,Rate,Model,Loss,Active_Features_Count,Active_Features
100,100,10,AGLSTM,TailMSE,1,098|era5_surface_merged_all_filter_normalized|mgws
100,100,10,AGLSTM,FadeTailDist,1,110|era5_surface_merged_all_filter_normalized|avg_ingwss
100,100,10,AGLSTM,TailW1,1,126|era5_surface_merged_all_filter_normalized|avg_snlwrfcs
100,100,10,AGLSTM,FadeDist,1,236|era5_surface_merged_all_filter_normalized|mx2t
100,100,10,AGLSTM,RMSE,1,085|era5_surface_merged_all_filter_normalized|ttrc
100,100,10,AGLSTM,W1,1,236|era5_surface_merged_all_filter_normalized|mx2t
100,100,10,AGLSTM,W2,1,098|era5_surface_merged_all_filter_normalized|mgws
100,300,10,AGLSTM,TailMSE,1,085|era5_surface_merged_all_filter_normalized|ttrc
100,300,10,AGLSTM,FadeTailDist,1,151|era5_surface_merged_all_filter_normalized|v10n
100,300,10,AGLSTM,TailW1,1,139|era5_surface_merged_all_filter_normalized|v10
100,300,10,AGLSTM,FadeDist,1,098|era5_surface_merged_all_filter_normalized|mgws
100,300,10,AGLSTM,RMSE,1,236|era5_surface_merged_all_filter_normalized|mx2t
100,300,10,AGLSTM,W1,1,110|era5_surface_merged_all_filter_normalized|avg_ingwss
100,300,10,AGLSTM,W2,1,149|era5_surface_merged_all_filter_normalized|v100
100,900,10,AGLSTM,TailMSE,1,149|era5_surface_merged_all_filter_normalized|v100
100,900,10,AGLSTM,FadeTailDist,1,236|era5_surface_merged_all_filter_normalized|mx2t
100,900,10,AGLSTM,TailW1,1,110|era5_surface_merged_all_filter_normalized|avg_ingwss
100,900,10,AGLSTM,FadeDist,1,237|era5_surface_merged_all_filter_normalized|mn2t
100,900,10,AGLSTM,RMSE,1,139|era5_surface_merged_all_filter_normalized|v10
100,900,10,AGLSTM,W1,1,139|era5_surface_merged_all_filter_normalized|v10
100,900,10,AGLSTM,W2,1,139|era5_surface_merged_all_filter_normalized|v10
100,1500,10,AGLSTM,TailMSE,1,151|era5_surface_merged_all_filter_normalized|v10n
100,1500,10,AGLSTM,FadeTailDist,1,236|era5_surface_merged_all_filter_normalized|mx2t
100,1500,10,AGLSTM,TailW1,1,139|era5_surface_merged_all_filter_normalized|v10
100,1500,10,AGLSTM,FadeDist,1,098|era5_surface_merged_all_filter_normalized|mgws
100,1500,10,AGLSTM,RMSE,1,098|era5_surface_merged_all_filter_normalized|mgws
100,1500,10,AGLSTM,W1,1,236|era5_surface_merged_all_filter_normalized|mx2t
100,1500,10,AGLSTM,W2,1,052|era5_pressure_merged_650hPa_filtered_normalized|cc
100,2100,10,AGLSTM,TailMSE,1,149|era5_surface_merged_all_filter_normalized|v100
100,2100,10,AGLSTM,FadeTailDist,1,133|era5_surface_merged_all_filter_normalized|avg_tnlwrfcs
100,2100,10,AGLSTM,TailW1,1,181|era5_surface_merged_all_filter_normalized|tsn
100,2100,10,AGLSTM,FadeDist,1,139|era5_surface_merged_all_filter_normalized|v10
100,2100,10,AGLSTM,RMSE,1,237|era5_surface_merged_all_filter_normalized|mn2t
100,2100,10,AGLSTM,W1,1,141|era5_surface_merged_all_filter_normalized|t2m
100,2100,10,AGLSTM,W2,1,110|era5_surface_merged_all_filter_normalized|avg_ingwss
100,2700,10,AGLSTM,RMSE,1,236|era5_surface_merged_all_filter_normalized|mx2t
100,2700,10,AGLSTM,W1,1,110|era5_surface_merged_all_filter_normalized|avg_ingwss
100,2700,10,AGLSTM,W2,1,236|era5_surface_merged_all_filter_normalized|mx2t
100,2700,10,AGLSTM,FadeTailDist,1,098|era5_surface_merged_all_filter_normalized|mgws
100,2700,10,AGLSTM,TailMSE,1,133|era5_surface_merged_all_filter_normalized|avg_tnlwrfcs
100,2700,10,AGLSTM,TailW1,1,142|era5_surface_merged_all_filter_normalized|msl
